HEIGHT_RANGE,HEIGHT_RANGE_ID
20' - 30',2
10' - 20',1
30' - 40',3
50' - 60',5
40' - 50',4
60' - 70',6
70' - 80',7
80' - 90',8
90' - 100',9
> 100',10
0' - 10',0
